t,angle,gyro,speed,dist,LQR_u,yawout,yaw,joyx,joyy,joyy_f,height,angle_zp,dist_zp,leg_add,bat,motor1_t,motor2_t,unctrl,jump
66323,8.05645,2.877184,0.183817,1.016262,0.317084,0.04438,0.054073,0,0,0,48,8.200213,1.04234,12.98294,8.1385,-0.180732,-0.136352,0,0
66344,8.153948,0.556573,0.406965,1.023932,0.499478,0.00265,0.037381,0,0,0,48,8.200788,1.04234,12.92879,8.1385,-0.251064,-0.248414,0,0
66365,8.217841,-3.687702,0.545884,1.033903,0.473791,-0.051783,0.011039,0,0,0,48,8.201289,1.04234,12.9088,8.1385,-0.211004,-0.262787,0,0
66387,8.088412,-4.222053,0.662027,1.048476,0.438576,-0.174822,-0.049709,0,0,0,48,8.201746,1.04234,12.89627,8.1385,-0.131877,-0.306699,0,0
66407,7.925178,-1.229686,0.551912,1.059981,0.404072,-0.253959,-0.116633,0,0,0,48,8.202069,1.04234,12.87258,8.1385,-0.075056,-0.329015,0,0
66429,7.851411,4.388634,0.222938,1.066884,0.464169,-0.274374,-0.177964,0,0,0,48,8.202321,1.04234,12.84607,8.1385,-0.094898,-0.369271,0,0
66449,8.009182,4.739779,0.222227,1.071486,0.701675,-0.272625,-0.215299,0,0,0,48,8.20246,1.04234,12.8533,8.1385,-0.214525,-0.48715,0,0
66467,8.201108,-0.328923,0.330945,1.076855,0.733531,-0.30004,-0.240882,0,0,0,48,8.202518,1.04234,12.87742,8.1385,-0.216746,-0.516786,0,0
66491,8.280725,-6.252587,0.505126,1.087592,0.650552,-0.380483,-0.28102,0,0,0,48,8.202501,1.04234,12.88858,8.1385,-0.135034,-0.515517,0,0
66512,8.155344,-8.588465,0.739813,1.102932,0.567789,-0.460853,-0.340626,0,0,0,48,8.202392,1.04234,12.86808,8.1385,-0.053468,-0.514321,0,0
66532,7.892239,-4.985412,0.651865,1.115204,0.429298,-0.477882,-0.394297,0,0,0,48,8.20219,1.04234,12.84321,8.1385,0.024292,-0.45359,0,0
66554,7.686914,2.800848,0.205491,1.122107,0.327637,-0.400709,-0.41239,0,0,0,48,8.201859,1.04234,12.84998,8.1385,0.036536,-0.364173,0,0
66575,7.711781,7.732146,-0.074507,1.122874,0.434457,-0.34131,-0.390244,0,0,0,48,8.201466,1.04234,12.88715,8.1385,-0.046573,-0.387884,0,0
66596,7.986107,4.922986,-0.020054,1.122107,0.594548,-0.337237,-0.364797,0,0,0,48,8.200947,1.04234,12.92222,8.1385,-0.128655,-0.465892,0,0
66617,8.123987,1.121459,0.073023,1.123641,0.60399,-0.367944,-0.361305,0,0,0,48,8.200412,1.04234,12.90718,8.1385,-0.118023,-0.485967,0,0
66637,8.174237,-1.031213,0.27062,1.128243,0.699583,-0.347141,-0.357602,0,0,0,48,8.199825,1.04234,12.85792,8.1385,-0.176221,-0.523362,0,0
